Ticker,Name,Sector,Asset Class,As of Date,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
CIX,CI FINANCIAL CORP,Financials,Equity,2024/8/30,"8,905,038.40",0.07,"8,905,038.40","510,610.00",17.44,Canada,Toronto Stock Exchange,CAD,1,CAD
CJT,CARGOJET INC,Industrials,Equity,2024/8/30,"8,745,748.83",0.07,"8,745,748.83","65,379.00",133.77,Canada,Toronto Stock Exchange,CAD,1,CAD
RUS,RUSSEL METALS INC,Industrials,Equity,2024/8/30,"8,702,857.32",0.07,"8,702,857.32","231,213.00",37.64,Canada,Toronto Stock Exchange,CAD,1,CAD
TXG,TOREX GOLD RESOURCES INC,Materials,Equity,2024/8/30,"8,629,582.00",0.07,"8,629,582.00","331,907.00",26,Canada,Toronto Stock Exchange,CAD,1,CAD
VET,VERMILION ENERGY INC,Energy,Equity,2024/8/30,"8,615,184.06",0.07,"8,615,184.06","621,138.00",13.87,Canada,Toronto Stock Exchange,CAD,1,CAD
AP.UN,ALLIED PROPERTIES REAL ESTATE INVT,Real Estate,Equity,2024/8/30,"8,580,521.63",0.07,"8,580,521.63","493,417.00",17.39,Canada,Toronto Stock Exchange,CAD,1,CAD
STLC,STELCO HOLDINGS INC,Materials,Equity,2024/8/30,"8,531,375.00",0.07,"8,531,375.00","130,250.00",65.5,Canada,Toronto Stock Exchange,CAD,1,CAD
NWC,NORTH WEST COMPANY INC,Consumer Staples,Equity,2024/8/30,"8,430,609.44",0.07,"8,430,609.44","184,558.00",45.68,Canada,Toronto Stock Exchange,CAD,1,CAD
AG,FIRST MAJESTIC SILVER CORP,Materials,Equity,2024/8/30,"8,381,617.40",0.06,"8,381,617.40","1,110,148.00",7.55,Canada,Toronto Stock Exchange,CAD,1,CAD
EIF,EXCHANGE INCOME CORP,Industrials,Equity,2024/8/30,"8,345,033.18",0.06,"8,345,033.18","168,962.00",49.39,Canada,Toronto Stock Exchange,CAD,1,CAD
POU,PARAMOUNT RESOURCE LTD CLASS A,Energy,Equity,2024/8/30,"8,256,912.53",0.06,"8,256,912.53","297,761.00",27.73,Canada,Toronto Stock Exchange,CAD,1,CAD
NVA,NUVISTA ENERGY LTD,Energy,Equity,2024/8/30,"7,944,038.22",0.06,"7,944,038.22","622,086.00",12.77,Canada,Toronto Stock Exchange,CAD,1,CAD
CG,CENTERRA GOLD INC,Materials,Equity,2024/8/30,"7,896,895.00",0.06,"7,896,895.00","826,900.00",9.55,Canada,Toronto Stock Exchange,CAD,1,CAD
RCH,RICHELIEU HARDWARE LTD,Industrials,Equity,2024/8/30,"7,781,963.42",0.06,"7,781,963.42","197,813.00",39.34,Canada,Toronto Stock Exchange,CAD,1,CAD
TVE,TAMARACK VALLEY ENERGY LTD,Energy,Equity,2024/8/30,"7,761,188.16",0.06,"7,761,188.16","1,959,896.00",3.96,Canada,Toronto Stock Exchange,CAD,1,CAD
TSU,TRISURA GROUP LTD,Financials,Equity,2024/8/30,"7,685,888.70",0.06,"7,685,888.70","183,785.00",41.82,Canada,Toronto Stock Exchange,CAD,1,CAD
LIF,LABRADOR IRON ORE ROYALTY CORP,Materials,Equity,2024/8/30,"7,542,582.00",0.06,"7,542,582.00","248,520.00",30.35,Canada,Toronto Stock Exchange,CAD,1,CAD
SSL,SANDSTORM GOLD LTD,Materials,Equity,2024/8/30,"7,489,947.88",0.06,"7,489,947.88","950,501.00",7.88,Canada,Toronto Stock Exchange,CAD,1,CAD
WDO,WESDOME GOLD MINES LTD,Materials,Equity,2024/8/30,"7,482,967.25",0.06,"7,482,967.25","580,525.00",12.89,Canada,Toronto Stock Exchange,CAD,1,CAD
FVI,FORTUNA MINING CORP,Materials,Equity,2024/8/30,"7,312,827.69",0.06,"7,312,827.69","1,177,589.00",6.21,Canada,Toronto Stock Exchange,CAD,1,CAD
CEU,CES ENERGY SOLUTIONS CORP,Energy,Equity,2024/8/30,"7,255,504.00",0.06,"7,255,504.00","906,938.00",8,Canada,Toronto Stock Exchange,CAD,1,CAD
TLRY,TILRAY BRANDS INC,Health Care,Equity,2024/8/30,"7,216,537.02",0.06,"7,216,537.02","3,124,042.00",2.31,United States,Toronto Stock Exchange,CAD,1,CAD
IIP.UN,INTERRENT REAL ESTATE INVESTMENT T,Real Estate,Equity,2024/8/30,"7,173,138.72",0.06,"7,173,138.72","563,926.00",12.72,Canada,Toronto Stock Exchange,CAD,1,CAD
DML,DENISON MINES CORP,Energy,Equity,2024/8/30,"7,115,223.09",0.05,"7,115,223.09","3,190,683.00",2.23,Canada,Toronto Stock Exchange,CAD,1,CAD
SEA,SEABRIDGE GOLD INC,Materials,Equity,2024/8/30,"6,780,301.28",0.05,"6,780,301.28","285,968.00",23.71,Canada,Toronto Stock Exchange,CAD,1,CAD
OSK,OSISKO MINING INC,Materials,Equity,2024/8/30,"6,749,060.11",0.05,"6,749,060.11","1,403,131.00",4.81,Canada,Toronto Stock Exchange,CAD,1,CAD
KNT,K92 MINING INC,Materials,Equity,2024/8/30,"6,737,238.90",0.05,"6,737,238.90","912,905.00",7.38,Canada,Toronto Stock Exchange,CAD,1,CAD
SPB,SUPERIOR PLUS CORP,Utilities,Equity,2024/8/30,"6,623,527.80",0.05,"6,623,527.80","856,860.00",7.73,Canada,Toronto Stock Exchange,CAD,1,CAD
FRU,FREEHOLD ROYALTIES LTD,Energy,Equity,2024/8/30,"6,595,050.00",0.05,"6,595,050.00","479,640.00",13.75,Canada,Toronto Stock Exchange,CAD,1,CAD
IPCO,INTERNATIONAL PETROLEUM CORP,Energy,Equity,2024/8/30,"6,594,818.25",0.05,"6,594,818.25","322,485.00",20.45,Canada,Toronto Stock Exchange,CAD,1,CAD
BB,BLACKBERRY LTD,Information Technology,Equity,2024/8/30,"6,553,711.89",0.05,"6,553,711.89","2,067,417.00",3.17,Canada,Toronto Stock Exchange,CAD,1,CAD
AYA,AYA GOLD & SILVER INC,Materials,Equity,2024/8/30,"6,461,276.55",0.05,"6,461,276.55","431,615.00",14.97,Canada,Toronto Stock Exchange,CAD,1,CAD
NFI,NFI GROUP INC,Industrials,Equity,2024/8/30,"6,382,418.44",0.05,"6,382,418.44","330,524.00",19.31,Canada,Toronto Stock Exchange,CAD,1,CAD
MAG,MAG SILVER CORP,Materials,Equity,2024/8/30,"6,368,925.20",0.05,"6,368,925.20","361,460.00",17.62,Canada,Toronto Stock Exchange,CAD,1,CAD
SIL,SILVERCREST METALS INC,Materials,Equity,2024/8/30,"6,339,864.96",0.05,"6,339,864.96","567,072.00",11.18,Canada,Toronto Stock Exchange,CAD,1,CAD
MFI,MAPLE LEAF FOODS INC,Consumer Staples,Equity,2024/8/30,"6,197,922.24",0.05,"6,197,922.24","280,703.00",22.08,Canada,Toronto Stock Exchange,CAD,1,CAD
BIR,BIRCHCLIFF ENERGY LTD,Energy,Equity,2024/8/30,"6,156,481.27",0.05,"6,156,481.27","1,045,243.00",5.89,Canada,Toronto Stock Exchange,CAD,1,CAD
CRR.UN,CROMBIE REAL ESTATE INVESTMENT TRU,Real Estate,Equity,2024/8/30,"6,087,014.40",0.05,"6,087,014.40","413,520.00",14.72,Canada,Toronto Stock Exchange,CAD,1,CAD
AAV,ADVANTAGE ENERGY LTD,Energy,Equity,2024/8/30,"6,058,835.64",0.05,"6,058,835.64","623,337.00",9.72,Canada,Toronto Stock Exchange,CAD,1,CAD
CCA,COGECO COMMUNICATIONS SUBORDINATE,Communication,Equity,2024/8/30,"6,042,266.89",0.05,"6,042,266.89","93,577.00",64.57,Canada,Toronto Stock Exchange,CAD,1,CAD
HWX,HEADWATER EXPLORATION INC,Energy,Equity,2024/8/30,"5,753,253.35",0.04,"5,753,253.35","839,891.00",6.85,Canada,Toronto Stock Exchange,CAD,1,CAD
MDA,MDA SPACE LTD,Industrials,Equity,2024/8/30,"5,716,762.15",0.04,"5,716,762.15","360,679.00",15.85,Canada,Toronto Stock Exchange,CAD,1,CAD
CXB,CALIBRE MINING CORP,Materials,Equity,2024/8/30,"5,683,853.04",0.04,"5,683,853.04","2,492,918.00",2.28,Canada,Toronto Stock Exchange,CAD,1,CAD
SSRM,SSR MINING INC,Materials,Equity,2024/8/30,"5,538,941.46",0.04,"5,538,941.46","789,023.00",7.02,Canada,Toronto Stock Exchange,CAD,1,CAD
PMZ.UN,PRIMARIS REAL ESTATE INVESTMENT UN,Real Estate,Equity,2024/8/30,"5,503,546.47",0.04,"5,503,546.47","371,109.00",14.83,Canada,Toronto Stock Exchange,CAD,1,CAD
INE,INNERGEX RENEWABLE ENERGY INC,Utilities,Equity,2024/8/30,"5,500,531.40",0.04,"5,500,531.40","604,454.00",9.1,Canada,Toronto Stock Exchange,CAD,1,CAD
PD,PRECISION DRILLING CORP,Energy,Equity,2024/8/30,"5,465,191.91",0.04,"5,465,191.91","56,059.00",97.49,Canada,Toronto Stock Exchange,CAD,1,CAD
WPK,WINPAK LTD,Materials,Equity,2024/8/30,"5,393,242.02",0.04,"5,393,242.02","118,221.00",45.62,Canada,Toronto Stock Exchange,CAD,1,CAD
PXT,PAREX RESOURCES INC,Energy,Equity,2024/8/30,"5,375,198.40",0.04,"5,375,198.40","397,280.00",13.53,Canada,Toronto Stock Exchange,CAD,1,CAD
ASTL,ALGOMA STEEL GROUP INC,Materials,Equity,2024/8/30,"5,369,498.37",0.04,"5,369,498.37","375,227.00",14.31,Canada,Toronto Stock Exchange,CAD,1,CAD
